Hand,PotentialExploitability,Exploited,PctExploited,P0Vulnerability,Winnings
0,0.034517061,0.000980386,0.028402950,1.814347986,-1
1,0.034517061,0.000980386,0.028402950,1.814347986,-2
2,0.034517061,-0.064463605,-1.867586716,4.514347986,-9
3,0.034517061,-0.107274001,-3.107854390,2.714347986,-18
4,0.034517061,0.000980386,0.028402950,1.814347986,-18.0
5,0.034517061,-0.107274001,-3.107854390,2.714347986,-19.0
6,0.034517061,-0.107274001,-3.107854390,2.714347986,-18.0
7,0.034517061,-0.064463605,-1.867586716,4.514347986,-19.0
8,0.034517061,-0.107274001,-3.107854390,2.714347986,-18.0
9,0.034517061,0.019715372,0.571177604,2.514347986,-15.0
10,0.034517061,-0.061573243,-1.783849513,1.847681319,-16.0
11,0.034517061,-0.107274001,-3.107854390,2.714347986,-19.0
12,0.034517061,0.019715372,0.571177604,2.514347986,-19.0
13,0.034517061,0.000980386,0.028402950,1.814347986,-22.0
14,0.034517061,-0.064463605,-1.867586716,4.514347986,-23.0
15,0.034517061,0.019715372,0.571177604,2.514347986,-32.0
16,0.034517061,-0.061573243,-1.783849513,1.847681319,-35.0
17,0.034517061,0.019715372,0.571177604,2.514347986,-34.0
18,0.034517061,0.019715372,0.571177604,2.514347986,-35.0
19,0.034517061,0.019715372,0.571177604,2.514347986,-36.0
20,0.034517061,0.000980386,0.028402950,1.814347986,-36.0
21,0.034517061,0.019715372,0.571177604,2.514347986,-37.0
22,0.034517061,0.019715372,0.571177604,2.514347986,-40.0
23,0.034517061,-0.064463605,-1.867586716,4.514347986,-43.0
24,0.034517061,0.019715372,0.571177604,2.514347986,-42.0
25,0.034517061,0.019715372,0.571177604,2.514347986,-39.0
26,0.034517061,0.019715372,0.571177604,2.514347986,-36.0
27,0.034517061,-0.107274001,-3.107854390,2.714347986,-35.0
28,0.034517061,0.000980386,0.028402950,1.814347986,-30.0
29,0.034517061,0.019715372,0.571177604,2.514347986,-39.0
30,0.034517061,0.000980386,0.028402950,1.814347986,-40.0
31,0.034517061,-0.064463605,-1.867586716,4.514347986,-41.0
32,0.034517061,0.000980386,0.028402950,1.814347986,-41.0
33,0.034517061,-0.061573243,-1.783849513,1.847681319,-36.0
34,0.034517061,0.000980386,0.028402950,1.814347986,-27.0
35,0.034517061,0.019715372,0.571177604,2.514347986,-22.0
36,0.034517061,0.019715372,0.571177604,2.514347986,-19.0
37,0.034517061,-0.107274001,-3.107854390,2.714347986,-19.0
38,0.034517061,-0.064463605,-1.867586716,4.514347986,-20.0
39,0.034517061,0.019715372,0.571177604,2.514347986,-17.0
40,0.034517061,-0.064463605,-1.867586716,4.514347986,-20.0
41,0.034517061,0.000980386,0.028402950,1.814347986,-19.0
42,0.034517061,0.019715372,0.571177604,2.514347986,-20.0
43,0.034517061,-0.061573243,-1.783849513,1.847681319,-23.0
44,0.034517061,-0.061573243,-1.783849513,1.847681319,-26.0
45,0.034517061,0.000980386,0.028402950,1.814347986,-25.0
46,0.034517061,0.019715372,0.571177604,2.514347986,-32.0
47,0.034517061,0.000980386,0.028402950,1.814347986,-33.0
48,0.034517061,0.000980386,0.028402950,1.814347986,-34.0
49,0.034517061,-0.107274001,-3.107854390,2.714347986,-35.0
50,0.034517061,0.000980386,0.028402950,1.814347986,-34.0
51,0.034517061,0.000980386,0.028402950,1.814347986,-35.0
52,0.034517061,0.000980386,0.028402950,1.814347986,-30.0
53,0.034517061,-0.064463605,-1.867586716,4.514347986,-31.0
54,0.034517061,0.000980386,0.028402950,1.814347986,-34.0
55,0.034517061,0.019715372,0.571177604,2.514347986,-33.0
56,0.034517061,0.019715372,0.571177604,2.514347986,-33.0
57,0.034517061,-0.064463605,-1.867586716,4.514347986,-36.0
58,0.034517061,0.000980386,0.028402950,1.814347986,-31.0
59,0.034517061,0.019715372,0.571177604,2.514347986,-32.0
60,0.034517061,-0.064463605,-1.867586716,4.514347986,-39.0
61,0.034517061,0.019715372,0.571177604,2.514347986,-38.0
62,0.034517061,0.000980386,0.028402950,1.814347986,-41.0
63,0.034517061,0.019715372,0.571177604,2.514347986,-40.0
64,0.034517061,-0.061573243,-1.783849513,1.847681319,-41.0
65,0.034517061,0.000980386,0.028402950,1.814347986,-48.0
66,0.034517061,-0.061573243,-1.783849513,1.847681319,-47.0
67,0.034517061,0.000980386,0.028402950,1.814347986,-52.0
68,0.034517061,0.019715372,0.571177604,2.514347986,-51.0
69,0.034517061,0.019715372,0.571177604,2.514347986,-54.0
70,0.034517061,0.019715372,0.571177604,2.514347986,-57.0
71,0.034517061,0.000980386,0.028402950,1.814347986,-56.0
72,0.034517061,0.000980386,0.028402950,1.814347986,-55.0
73,0.034517061,-0.061573243,-1.783849513,1.847681319,-56.0
74,0.034517061,-0.064463605,-1.867586716,4.514347986,-55.0
75,0.034517061,0.000980386,0.028402950,1.814347986,-64.0
76,0.034517061,0.019715372,0.571177604,2.514347986,-59.0
77,0.034517061,-0.061573243,-1.783849513,1.847681319,-60.0
78,0.034517061,-0.064463605,-1.867586716,4.514347986,-57.0
79,0.034517061,0.000980386,0.028402950,1.814347986,-48.0
80,0.034517061,0.019715372,0.571177604,2.514347986,-49.0
81,0.034517061,-0.064463605,-1.867586716,4.514347986,-58.0
82,0.034517061,-0.064463605,-1.867586716,4.514347986,-53.0
83,0.034517061,0.000980386,0.028402950,1.814347986,-48.0
