Hand,Max,Exploited,PctExploited,P0Vulnerability,Winnings
0,0.095800085,-0.130716153,-1.364468031,4.064347986,-7
1,0.095800085,0.038495104,0.401827449,5.147681319,-14
2,0.095800085,-0.033084787,-0.345352378,4.714347986,-5.0
3,0.095800085,-0.097008213,-1.012610932,4.781014653,-12.0
4,0.095800085,0.020655877,0.215614392,3.214347986,-11.0
5,0.095800085,-0.077112172,-0.804928014,2.214347986,-11.0
6,0.095800085,0.010217810,0.106657626,3.197681319,-16.0
7,0.095800085,-0.098397950,-1.027117564,3.847681319,-17.0
8,0.095800085,-0.024041188,-0.250951632,3.581014653,-8.0
9,0.095800085,-0.035252350,-0.367978276,2.714347986,-11.0
10,0.095800085,-0.062889139,-0.656462244,3.264347986,-10.0
11,0.095800085,-0.035248457,-0.367937642,2.681014653,-15.0
12,0.095800085,-0.056720844,-0.592075090,3.781014653,-18.0
13,0.095800085,-0.011285875,-0.117806527,3.281014653,-17.0
14,0.095800085,0.033724368,0.352028584,3.347681319,-14.0
15,0.095800085,0.012270697,0.128086496,3.364347986,-11.0
16,0.095800085,-0.105910141,-1.105532853,2.214347986,-18.0
17,0.095800085,-0.086795211,-0.906003488,4.614347986,-15.0
18,0.095800085,-0.073097565,-0.763021920,4.497681319,-26.0
19,0.095800085,-0.015608798,-0.162930943,2.947681319,-33.0
20,0.095800085,-0.092311972,-0.963589667,3.314347986,-34.0
21,0.095800085,0.007253268,0.075712544,4.281014653,-39.0
22,0.095800085,-0.105406650,-1.100277203,3.747681319,-44.0
23,0.095800085,-0.010483635,-0.109432416,3.714347986,-49.0
24,0.095800085,-0.053492483,-0.558376155,3.231014653,-62.0
25,0.095800085,-0.107975538,-1.127092303,2.481014653,-65.0
26,0.095800085,-0.043476765,-0.453828046,4.297681319,-64.0
27,0.095800085,-0.021164976,-0.220928572,3.814347986,-69.0
28,0.095800085,-0.088094343,-0.919564355,3.231014653,-60.0
29,0.095800085,-0.005868639,-0.061259224,4.381014653,-59.0
30,0.095800085,-0.050173331,-0.523729506,5.047681319,-66.0
31,0.095800085,-0.053226316,-0.555597797,4.814347986,-65.0
32,0.095800085,-0.037583206,-0.392308690,3.081014653,-52.0
33,0.095800085,-0.023899178,-0.249469277,4.497681319,-51.0
