Hand,Max,Exploited,PctExploited,P0Vulnerability,Winnings
0,0.224054483,-0.077268044,-0.344862746,4.397681319,-7
1,0.224054483,0.025238843,0.112646007,4.081014653,-4.0
2,0.224054483,0.040843584,0.182293090,4.881014653,5.0
3,0.224054483,0.007267294,0.032435387,3.181014653,14.0
4,0.224054483,0.151355406,0.675529471,2.714347986,17.0
5,0.224054483,0.062907579,0.280769115,4.247681319,14.0
6,0.224054483,0.032930429,0.146975093,3.764347986,15.0
7,0.224054483,0.088673471,0.395767447,4.064347986,20.0
8,0.224054483,0.060678542,0.270820479,4.447681319,13.0
9,0.224054483,0.027981906,0.124888845,2.581014653,0.0
10,0.224054483,0.034627656,0.154550158,2.647681319,1.0
11,0.224054483,0.134352068,0.599640168,2.081014653,-4.0
12,0.224054483,0.063556295,0.283664463,3.647681319,1.0
13,0.224054483,0.022949025,0.102426093,3.747681319,-8.0
14,0.224054483,-0.029676430,-0.132451847,4.347681319,-7.0
15,0.224054483,0.041470355,0.185090493,4.014347986,-6.0
16,0.224054483,0.134086497,0.598454872,1.747681319,-13.0
17,0.224054483,0.109654461,0.489409808,5.014347986,-16.0
18,0.224054483,0.108514498,0.484321923,2.647681319,-29.0
19,0.224054483,-0.067077478,-0.299380208,5.181014653,-40.0
20,0.224054483,-0.013783216,-0.061517251,4.264347986,-39.0
21,0.224054483,0.044477901,0.198513776,4.147681319,-38.0
22,0.224054483,0.087200160,0.389191767,3.247681319,-47.0
23,0.224054483,0.100618168,0.449079024,2.431014653,-54.0
24,0.224054483,0.086126537,0.384399973,3.714347986,-59.0
25,0.224054483,0.130047010,0.580425834,3.114347986,-54.0
26,0.224054483,0.087212323,0.389246054,3.147681319,-54.0
27,0.224054483,-0.082657270,-0.368915940,5.047681319,-53.0
28,0.224054483,0.029793872,0.132976013,5.147681319,-62.0
29,0.224054483,0.072483375,0.323507808,4.781014653,-71.0
30,0.224054483,0.072268717,0.322549748,3.314347986,-71.0
31,0.224054483,-0.006055392,-0.027026426,2.281014653,-70.0
32,0.224054483,0.060012856,0.267849388,4.347681319,-67.0
33,0.224054483,0.082747345,0.369317963,3.247681319,-70.0
34,0.224054483,0.079224079,0.353592921,3.747681319,-67.0
35,0.224054483,0.092982387,0.414999002,4.981014653,-66.0
36,0.224054483,0.030085077,0.134275722,3.247681319,-75.0
37,0.224054483,0.029377751,0.131118783,3.947681319,-64.0
38,0.224054483,0.119690102,0.534200882,3.514347986,-63.0
39,0.224054483,0.062319203,0.278143078,3.797681319,-62.0
40,0.224054483,-0.072381310,-0.323052272,4.481014653,-75.0
41,0.224054483,0.063133640,0.281778069,2.714347986,-84.0
42,0.224054483,0.057490104,0.256589839,3.881014653,-75.0
43,0.224054483,0.108926235,0.486159586,4.414347986,-84.0
44,0.224054483,0.113984829,0.508737106,3.347681319,-87.0
45,0.224054483,0.024552556,0.109582970,5.781014653,-82.0
