Hand,Max,Exploited,PctExploited,P0Vulnerability,Winnings
0,0.015032673,-0.140372965,-9.337858200,3.081014653,1.0
1,0.015032673,-0.047688124,-3.172298449,3.581014653,1.0
2,0.015032673,-0.081151544,-5.398344422,3.247681319,2.0
3,0.015032673,-0.038516063,-2.562156684,4.147681319,-1.0
4,0.015032673,-0.170505323,-11.342316032,3.914347986,-4.0
5,0.015032673,-0.043683642,-2.905913240,5.347681319,-7.0
6,0.015032673,-0.026277958,-1.748056309,4.214347986,-16.0
7,0.015032673,-0.074279117,-4.941178420,3.647681319,-15.0
8,0.015032673,-0.026803709,-1.783030167,3.881014653,-14.0
9,0.015032673,-0.053138970,-3.534898355,4.647681319,-23.0
10,0.015032673,-0.027832996,-1.851500166,5.181014653,-28.0
11,0.015032673,-0.041729658,-2.775930728,5.414347986,-25.0
12,0.015032673,-0.081006338,-5.388685042,4.881014653,-34.0
13,0.015032673,-0.100518712,-6.686682691,4.181014653,-33.0
14,0.015032673,-0.011803312,-0.785177185,3.497681319,-28.0
15,0.015032673,-0.036427449,-2.423218399,3.647681319,-28.0
16,0.015032673,-0.046369787,-3.084600345,3.381014653,-33.0
17,0.015032673,-0.034298798,-2.281616798,2.914347986,-38.0
18,0.015032673,-0.041717955,-2.775152223,4.114347986,-45.0
19,0.015032673,-0.027894309,-1.855578810,2.447681319,-40.0
20,0.015032673,-0.032906331,-2.188987390,3.347681319,-31.0
21,0.015032673,-0.047555150,-3.163452796,4.581014653,-26.0
22,0.015032673,-0.008355738,-0.555838475,1.831014653,-21.0
23,0.015032673,-0.042877754,-2.852304136,2.947681319,-22.0
24,0.015032673,-0.038036856,-2.530279046,3.247681319,-19.0
25,0.015032673,-0.035692788,-2.374347450,4.214347986,-14.0
26,0.015032673,-0.024381265,-1.621884910,2.814347986,-13.0
27,0.015032673,-0.091356877,-6.077221248,4.547681319,-20.0
28,0.015032673,-0.023263936,-1.547558234,4.081014653,-27.0
29,0.015032673,-0.044458081,-2.957430288,4.914347986,-34.0
30,0.015032673,-0.052444933,-3.488729829,3.514347986,-21.0
31,0.015032673,-0.046573592,-3.098157836,4.814347986,-21.0
32,0.015032673,-0.031471381,-2.093532021,4.747681319,-20.0
33,0.015032673,-0.009443398,-0.628191568,2.981014653,-17.0
34,0.015032673,-0.014902463,-0.991338253,2.347681319,-16.0
35,0.015032673,-0.028308688,-1.883144049,4.881014653,-23.0
36,0.015032673,-0.043409643,-2.887686305,3.881014653,-23.0
37,0.015032673,-0.012309834,-0.818871968,3.997681319,-14.0
38,0.015032673,-0.004767018,-0.317110469,2.714347986,-15.0
39,0.015032673,-0.021926470,-1.458587599,3.881014653,-14.0
40,0.015032673,-0.016689721,-1.110229807,2.781014653,-17.0
41,0.015032673,0.009264741,0.616306997,1.281014653,-22.0
42,0.015032673,-0.002842277,-0.189073329,3.397681319,-23.0
43,0.015032673,-0.046505293,-3.093614426,5.247681319,-22.0
44,0.015032673,-0.083832647,-5.576696120,4.481014653,-21.0
45,0.015032673,-0.001930746,-0.128436613,1.947681319,-16.0
46,0.015032673,-0.047575036,-3.164775669,4.481014653,-15.0
47,0.015032673,-0.061492260,-4.090574034,4.214347986,-15.0
48,0.015032673,-0.008311466,-0.552893447,3.414347986,-6.0
49,0.015032673,-0.012131886,-0.807034555,2.047681319,-5.0
50,0.015032673,-0.028311485,-1.883330112,3.214347986,0.0
51,0.015032673,-0.023112193,-1.537464016,4.014347986,3.0
52,0.015032673,-0.018142654,-1.206881467,3.914347986,0.0
53,0.015032673,-0.026757710,-1.779970253,3.897681319,1.0
54,0.015032673,-0.010427502,-0.693655892,2.814347986,-8.0
55,0.015032673,-0.018485762,-1.229705654,3.614347986,-8.0
56,0.015032673,-0.014757648,-0.981704860,2.614347986,-7.0
57,0.015032673,-0.023652714,-1.573420425,3.581014653,-6.0
58,0.015032673,-0.006678247,-0.444248826,3.014347986,-13.0
59,0.015032673,-0.021060374,-1.400973357,3.481014653,-6.0
60,0.015032673,-0.028453257,-1.892761069,3.881014653,-11.0
61,0.015032673,-0.014566324,-0.968977647,3.614347986,-14.0
62,0.015032673,-0.027728880,-1.844574181,4.747681319,-9.0
63,0.015032673,-0.037442711,-2.490755442,3.414347986,-22.0
64,0.015032673,-0.028895444,-1.922176077,4.381014653,-17.0
65,0.015032673,-0.052429687,-3.487715620,3.514347986,-22.0
66,0.015032673,-0.025555614,-1.700004728,3.747681319,-22.0
67,0.015032673,-0.023424044,-1.558208862,4.114347986,-19.0
68,0.015032673,-0.024587785,-1.635623029,2.547681319,-12.0
69,0.015032673,-0.027190619,-1.808768147,3.031014653,-19.0
70,0.015032673,-0.012100200,-0.804926749,3.147681319,-26.0
71,0.015032673,-0.024804528,-1.650041136,3.547681319,-31.0
72,0.015032673,-0.019664768,-1.308135180,4.081014653,-38.0
73,0.015032673,-0.012130003,-0.806909288,3.364347986,-38.0
74,0.015032673,-0.029842774,-1.985194152,3.681014653,-38.0
75,0.015032673,-0.041039664,-2.730031106,5.047681319,-38.0
76,0.015032673,-0.005389215,-0.358500147,3.014347986,-29.0
77,0.015032673,-0.035717382,-2.375983481,4.481014653,-30.0
78,0.015032673,-0.006496093,-0.432131630,4.381014653,-30.0
79,0.015032673,-0.022531963,-1.498866065,3.681014653,-35.0
80,0.015032673,-0.018158286,-1.207921355,3.747681319,-32.0
81,0.015032673,-0.025915879,-1.723970193,3.181014653,-32.0
82,0.015032673,-0.022669229,-1.507997271,4.647681319,-32.0
83,0.015032673,-0.030603428,-2.035794204,3.297681319,-32.0
84,0.015032673,-0.012650095,-0.841506750,2.447681319,-31.0
85,0.015032673,-0.012306971,-0.818681521,3.447681319,-31.0
86,0.015032673,-0.011594724,-0.771301561,3.247681319,-28.0
87,0.015032673,-0.033506444,-2.228907955,5.281014653,-33.0
88,0.015032673,-0.009136976,-0.607807835,3.181014653,-28.0
89,0.015032673,-0.017994459,-1.197023267,3.747681319,-33.0
90,0.015032673,-0.024808265,-1.650289693,4.247681319,-40.0
91,0.015032673,-0.043452193,-2.890516846,3.981014653,-35.0
92,0.015032673,-0.020873533,-1.388544351,3.181014653,-42.0
93,0.015032673,-0.020945330,-1.393320429,2.981014653,-39.0
94,0.015032673,-0.008056010,-0.535900052,2.514347986,-39.0
95,0.015032673,0.010554407,0.702097832,1.547681319,-38.0
96,0.015032673,-0.026028537,-1.731464341,3.914347986,-37.0
97,0.015032673,-0.035647919,-2.371362714,4.381014653,-36.0
98,0.015032673,-0.020713573,-1.377903588,2.681014653,-31.0
99,0.015032673,-0.011964273,-0.795884650,3.381014653,-38.0
100,0.015032673,-0.050635053,-3.368333411,4.181014653,-38.0
101,0.015032673,-0.001089798,-0.072495299,3.014347986,-33.0
102,0.015032673,-0.019390650,-1.289900390,3.347681319,-34.0
103,0.015032673,-0.043657290,-2.904160263,5.314347986,-33.0
104,0.015032673,-0.002391172,-0.159064967,2.281014653,-30.0
105,0.015032673,-0.028469218,-1.893822777,4.031014653,-33.0
106,0.015032673,-0.007744989,-0.515210414,3.514347986,-24.0
107,0.015032673,-0.019797737,-1.316980537,4.081014653,-31.0
108,0.015032673,-0.003391089,-0.225581221,2.914347986,-30.0
109,0.015032673,-0.073515485,-4.890380263,4.231014653,-29.0
110,0.015032673,-0.057794140,-3.844568550,2.747681319,-28.0
111,0.015032673,-0.038390932,-2.553832791,4.714347986,-19.0
112,0.015032673,-0.019291067,-1.283275910,2.514347986,-22.0
113,0.015032673,-0.002305799,-0.153385838,2.514347986,-19.0
114,0.015032673,0.007234675,0.481263417,2.581014653,-19.0
115,0.015032673,0.005265017,0.350238267,2.847681319,-18.0
116,0.015032673,0.000850549,0.056580027,2.381014653,-19.0
